,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Treat_8,Treat_9,Treat_10,Treat_11,Treat_12,Treat_13,Treat_14
Gene1,-0.0601790274108594,0.10579460071889,-1.32911239952114,1.57071172147733,-0.601967577004737,0.146639268036799,0.0805137355486331,1.73727164783158,2.09072386963623,1.6486026724261,1.02839972757715,1.22800995990541,0.690000966965939,1.291436158861
Gene2,-0.391241798136216,0.927359124429903,0.389761158833636,-0.832700349262342,0.130023473972579,0.129027928706529,-0.937656936723343,1.18244487781732,1.49740206006948,2.0322231595617,1.21222596007114,1.1908562001451,1.04396455528993,2.35785303653392
Gene3,0.104869150711732,-1.48979073945404,0.103764301920118,-0.842289046004638,-0.0210047775643818,-0.229585581179584,-0.54924515604963,2.17286712253851,1.39857744830909,1.14956997119205,1.67234468945606,1.89362449584043,2.02249380160747,1.55652951983177
Gene4,-0.307274854756974,0.22089963806089,0.193804730792037,0.375561374838033,-0.0827143665492639,-0.798406595588199,-0.426903084210676,0.75808947051729,1.60364511186458,1.41706470044,1.75760726959045,1.1466042190414,2.87406284309774,1.8625868374437
Gene5,0.399424786918902,-0.78736022140602,-0.852380437599339,-0.502632006072944,0.081467243242328,0.816722434219951,0.0614924369743271,0.946093824797088,0.295773133978547,2.00284302786884,1.13004608623754,1.62238372303022,2.02911718690768,0.615035882564643
Gene6,0.180200197200635,0.121938781546101,0.0875064106247329,1.63225806097211,-0.599876764348807,0.145344425932764,0.427930506503482,0.636185250586236,1.7565559318502,1.31750067833388,1.71491929110549,0.205761257697448,1.70500363085444,1.02882945944593
Gene7,0.0544571245627956,0.402590775383205,-0.536316914188232,1.06458547085762,-0.728208215841553,1.03938864780759,-0.667495372293601,1.03428108959027,1.8577786156057,0.644330417158892,1.60167387718442,2.41420931981547,0.487999563341575,1.01372919887342
Gene8,-0.760839726379603,-0.450872155634353,-0.633979077885991,0.371139243936608,-1.30478204781221,-0.0690520502263293,-0.515218137095057,1.2764205541817,2.65273942913549,2.01620096067691,1.36952254111597,1.3909423425363,1.29310793612051,0.973069438329827
Gene9,-0.239519124105039,0.152616123152969,0.0453202657658547,0.0600269544481445,0.365646196849322,-0.407709730000698,-0.586398553580847,0.597053427964265,1.68496073552986,1.29530627442264,1.11705358265379,1.41961468645644,1.11587089777134,1.69287765669097
Gene10,-0.64859790202992,-1.77982238086197,-0.54726607396717,-0.584757859483328,0.36143022902639,-0.106876991280347,0.189270442381751,1.65169699541777,1.53276883627902,1.00898041221871,1.51243828116901,0.538641618602193,0.546909401431624,2.82719995617222
Gene11,0.105520397531754,0.335672936170398,0.922000106116972,0.363324254450755,0.215626462475917,0.494496844988149,1.19488492430312,2.28772138626044,1.63181562545019,1.48432116712131,0.377005753682146,0.644528894254471,0.776626582788722,1.76604801222262
Gene12,0.332607916625678,0.052476792931944,0.718114753353699,1.26868099436946,-0.123305342161536,-0.608464428178135,0.532969157615917,1.70026373083955,1.65115885560785,1.13100183420551,1.19088438661248,1.05980397101068,0.651045858408207,1.4134811442126
Gene13,1.01461823177099,-0.872837901716376,1.05612733361038,-0.0734831243729641,0.886999070413442,-0.798399443828144,-1.10253801848816,1.11259012071476,1.08104627437086,1.5594530794293,2.32616751312483,1.98619641635776,1.38032732341316,0.658205829478624
